ENSEMBL,avg,datos...2.,datos...2..1,datos...2..2,datos...2..3,datos...2..4,datos...2..5,datos...2..6,datos...2..7,datos...2..8,datos...2..9,datos...2..10,datos...2..11,datos...2..12,datos...2..13
ENSG00000151150,4.05378606151555,2.84260928900221,4.12986555434107,2.91131704744075,2.91131704744075,2.94846478529799,3.01269033521506,3.76156739133419,4.0100261681142,3.42656375385289,4.17865827265613,2.26659841018078,4.04161138604967,4.53740091682448,4.61597672271521
ENSG00000077420,4.65192649460053,3.97728172352753,3.77254366828488,3.52267351026125,3.52267351026125,2.73072396284471,3.39476056908278,4.32445333324319,4.5567871505209,4.2310004517553,4.2243838029444,3.03859172812797,4.37057122354886,4.05335201014519,4.31656079058387
ENSG00000138639,2.49111752486403,3.68744419943484,3.00478105265114,4.83771070527052,4.83771070527052,4.67024434044591,3.85793658667543,2.04343716168523,3.97103241018468,4.30449444898573,3.61979974668854,3.57203832327008,3.52224090087857,3.64535072340757,4.10388380229181
ENSG00000171310,2.28664647277978,2.36614992634803,3.91710199095846,2.61369873854425,2.61369873854425,2.12435305988584,2.1222213279287,2.12119203068935,3.94256253775125,4.37540041949877,3.67749199081819,2.21918951412539,4.38731481198376,3.84920536283756,3.37018184552793
ENSG00000183230,4.31997125718792,2.99826118464103,4.09048551629366,3.34196712988737,3.34196712988737,3.71875244880654,3.79916754868556,4.50946805655967,4.79333355731477,3.71861535265576,4.39779350026842,3.58350436328855,4.79801749339899,4.93472602209897,4.9318478074154
ENSG00000164176,4.23241581852599,2.71614959541713,3.61624339857923,3.14433719738992,3.14433719738992,3.66006426744072,3.47415719224221,4.04704903300428,4.18168576610576,3.55708964976048,3.91841827550706,3.35088085657125,4.17364232563764,4.2102936940316,4.30957243894959
ENSG00000082074,3.5721945732624,3.03229884283706,2.25509254673959,3.55363402883211,3.55363402883211,2.52096647897584,3.46168316989709,4.40213636197955,4.52597353241926,4.3557159270056,3.85786084158716,2.12160917363701,4.09139547172208,4.14118890713795,4.07526886070952
ENSG00000179399,5.2068328325141,2.58277786545617,3.86298118391436,2.78200361367761,2.78200361367761,2.79693457112046,3.64837244902148,4.16822071821645,4.64667108053397,4.36105719228003,4.36152880777304,3.80691240200622,3.92665804587553,4.87752228757193,4.27510907084448
ENSG00000150625,5.25441564932119,3.77915966716041,3.81512091610547,4.89784358449665,4.89784358449665,4.38179853078099,4.50723501692834,4.97094602886501,4.64609668905446,4.48576880633245,4.69240021176337,3.71123967687678,4.3605514123895,4.96097531191927,4.6421161464829
ENSG00000169306,5.25211656869981,3.32603636438915,5.22910769457093,3.70983781743917,3.70983781743917,4.27315163821475,4.2808925035604,5.13338068560673,5.19352051822534,3.94535747425719,5.17917722456254,4.50091010358474,5.36488053557246,5.70212055963097,6.01402236114991
